No compte;Date;Operation
05000994582;20/06/2021;179,69
05000994582;08/06/2021;139,23
05000994582;16/06/2021;58,10
05000994582;17/07/2021;167,37
05000994582;10/07/2021;39,45
05000994582;17/07/2021;183,37
05000994582;16/06/2021;93,22
05000994582;31/07/2021;179,55
05000994582;04/07/2021;69,86
05000994582;18/06/2021;39,95
05000994582;19/07/2021;175,66
05000994582;23/07/2021;138,42
05000994582;23/07/2021;183,55
05000994582;17/06/2021;87,25
05000994582;01/06/2021;105,43
05000994582;23/06/2021;99,19
05000994582;03/07/2021;47,17
05000994582;09/06/2021;140,72
05000994582;08/06/2021;103,82
05000994582;03/07/2021;67,61
05000990506;01/06/2021;142,22
05000990506;29/06/2021;76,10
05000990506;19/06/2021;104,89
05000990506;28/07/2021;191,00
05000990506;06/07/2021;159,89
05000990506;02/07/2021;21,68
05000990506;05/07/2021;6,90
05000990506;29/07/2021;145,51
05000990506;25/07/2021;182,15
05000990506;14/07/2021;63,61
05000990506;31/07/2021;40,18
05000990506;04/06/2021;54,49
05000990506;03/06/2021;19,39
05000990506;30/07/2021;22,93
05000990506;20/07/2021;109,00
05000990506;08/07/2021;169,83
05000990506;02/07/2021;48,53
05000990506;10/07/2021;67,24
05000990506;15/06/2021;113,61
05000990506;09/06/2021;103,69
05000989950;12/06/2021;24,79
05000989950;31/07/2021;144,87
05000989950;05/06/2021;26,98
05000989950;29/07/2021;186,12
05000989950;06/06/2021;28,34
05000989950;29/07/2021;187,79
05000989950;28/06/2021;150,52
05000989950;09/06/2021;199,72
05000989950;18/07/2021;164,45
05000989950;01/06/2021;65,60
05000989950;03/06/2021;157,36
05000989950;07/07/2021;47,31
05000989950;04/06/2021;199,20
05000989950;01/06/2021;121,80
05000989950;15/06/2021;111,40
05000989950;11/06/2021;12,96
05000989950;05/07/2021;74,78
05000988455;03/07/2021;157,86
05000988455;16/06/2021;197,70
05000988455;03/07/2021;152,95
05000988455;25/07/2021;36,83
05000988455;16/07/2021;149,73
05000988455;29/06/2021;26,18
05000988455;03/07/2021;109,88
05000988455;03/07/2021;99,70
05000988455;30/06/2021;182,19
05000988455;20/06/2021;127,79
